Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,P001,U1001,Avery,3,3,5,1767225600,Fresh tea,"Great fresh green tea with a clean taste. I love it and recommend it."
2,P002,U1002,Blake,1,1,4,1767312000,Smooth coffee,"Good coffee beans with excellent aroma and a smooth finish."
3,P003,U1003,Casey,0,0,5,1767398400,Gift box,"Amazing dark chocolate box. Perfect for a small gift."
4,P004,U1004,Drew,2,3,2,1767484800,Too dry,"The almond butter was stale and disappointing, with poor texture."
5,P005,U1005,Elliot,4,4,3,1767571200,Decent granola,"Protein granola is fine for breakfast, but not very crunchy."
6,P006,U1006,Finley,5,5,5,1767657600,Excellent oil,"Excellent olive oil with a fresh peppery finish."
7,P007,U1007,Gray,1,2,4,1767744000,Nice honey,"Good honey jar, tasty in tea and easy to use."
8,P008,U1008,Harper,0,1,1,1767830400,Too spicy,"Worst chips I tried this month. The bag tasted stale and bad."
9,P009,U1009,Indigo,2,2,4,1767916800,Weeknight pasta,"Good pasta pack that cooks evenly and holds sauce well."
10,P010,U1010,Jules,3,3,5,1768003200,Pet favorite,"The treats smell fresh and our dog loves them."
11,P011,U1011,Kai,1,1,3,1768089600,Calm tea,"Herbal infusion is neutral and mild, good for evenings."
12,P012,U1012,Logan,0,0,2,1768176000,Not crisp,"Breakfast cereal arrived broken and tasted stale."
13,P001,U1013,Morgan,2,2,5,1768262400,Repeat order,"Love this tea. It is fresh, tasty, and excellent after lunch."
14,P006,U1014,Nico,1,1,2,1768348800,Leaky cap,"Olive oil flavor was good, but the cap arrived broken."
15,P003,U1015,Oakley,2,2,4,1768435200,Rich cocoa,"Dark chocolate tasted great with a nice cocoa snap."
16,P008,U1016,Parker,1,2,3,1768521600,Spicy snack,"Spicy chips are okay, strong heat but not bad."
